path	provenance	license	header_owners	source_reference
aspire/real/cap/saved_scripts/legacy_codes/table_bussing/nclass_sorting_nvidiagemini.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/open_grippers_return_home.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/pick_can_place_in_trash_can_one_shot_loop.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/pick_plate_no_motion_plan.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/place_orange_bowl_on_white_bowl_lower_rack_one_shot_loop.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/place_white_dish_on_bottom_shelf_one_shot_loop.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/shell_scripts/bottle_rack.sh	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/shell_scripts/dish_bowl_rack.sh	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/shell_scripts/drawer_candy_bar_place.sh	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/shell_scripts/drawer_observe_pull_open_x.sh	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/shell_scripts/drawer_push_close_x.sh	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/shell_scripts/home.sh	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/shell_scripts/run_kitkat_handover.sh	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/shell_scripts/speed_scale.sh	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/skill_library/__init__.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/skill_library/constants/__init__.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/skill_library/constants/manipulation.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/skill_library/constants/planning.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/skill_library/constants/robot.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/skill_library/constants/sorting.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/skill_library/constants/vision.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/skill_library/debug_observation.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/skill_library/grasp_geometry.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/skill_library/namespace.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/skill_library/pick_place.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/skill_library/simple_grasp_lift_loop.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/skill_library/vlm_classification.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/yam_demo.sh	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/yam_runtime/__init__.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/yam_runtime/artifacts.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/yam_runtime/execution.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/yam_runtime/gripper.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/yam_runtime/observation.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/yam_runtime/planning.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
